video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
7.361964268712971e+18,2024-04-25T19:21:35,84.0,US,18400.0,1022.0,707.0,1400000.0,My wife was soo proud of herself today for seeding her lawn BUT………. #sahw #seeding #fertilizer #soproud ,False,,90zdad,90zDad,,,,,,False,,,
7.365258694776376e+18,2024-05-04T16:25:33,28.0,US,10900000.0,341000.0,32000.0,69500000.0,The fam knew 🤣 #funny #relationship #couple #marriage #thequistfamily ,False,,thequistfamily,Courtney & Alex,,,,,,False,,,
7.36270573662477e+18,2024-04-27T19:18:54,13.0,US,3100000.0,55100.0,2225.0,11400000.0,Caught. ,False,,sydney.anderosn_,syd,,,,,,False,,,
7.382996099503656e+18,2024-06-21T11:35:40,7.0,US,561700.0,74000.0,950.0,2500000.0,just kidding……. lol #fyp #trending #nyc ,False,,niyxfaith,Aniyah Faith ♡,,,,,,False,,,
7.361156718522306e+18,2024-04-23T15:07:51,14.0,US,269400.0,587.0,305.0,2700000.0,SHE HIT THAT PREGO,False,,whitneywren1,Whitney Wren,,,,,,False,,,
7.368586449530293e+18,2024-05-13T15:38:58,17.0,US,2000000.0,100200.0,3783.0,19100000.0,,False,,brookemonk_,Brooke Monk,,,,,,True,,,
7.3652105433235e+18,2024-05-04T13:18:42,10.0,US,325100.0,6198.0,715.0,2400000.0,,False,,tlsfit,tlsfit,,,,,,False,TikTok In The Mix,2330 W Rio Salado Pkwy, Mesa
7.37494979499898e+18,2024-05-30T19:11:54,37.0,US,252900.0,12400.0,2023.0,1800000.0,Lets play a game 🏈🦚🌈 #foryou #gay ,False,,matthewconvard,Matt Convard,,,,,,False,,,
7.363861432603233e+18,2024-04-30T22:03:31,9.0,US,1000000.0,5414.0,641.0,5400000.0,her reaction 😭😭 ||  #arianagrande #arianasverison #fyp #fypシ #fypage #fypシ゚viral #foryou #foryoupage #blowthisupforme #blowthisuptiktok #blowthisupplease #blowthisupovernight #blowthisup #fypシ #fypシ゚viral #foryou #foryoupage #fyp #fypage #blowthisupforme #blowthisuptiktok #blowthisupplease #blowthisupovernight #blowthisup ,False,,grqnde.swt,♡︎,,,,,,False,,,
7.362321040606776e+18,2024-04-26T18:26:05,15.0,US,359800.0,3138.0,384.0,2700000.0,Me cause I love layers (I forgot who I saw did this but same) ,False,,not.kathryn,Kathryn Melvin,,,,,,False,,,
7.371725585053421e+18,2024-05-22T02:40:34,90.0,US,2400000.0,755300.0,41200.0,17000000.0,#dementia #funny #fyppppppppppppppppppppppp ,False,,anetra360,K B,,,,,,False,,,
7.368872754629643e+18,2024-05-14T10:09:56,34.0,US,292100.0,2976.0,648.0,3400000.0,Are our DEAF parents quiet?🧐😂,False,,thevichfam,THEVICHFAM,,,,,,False,,,
7.3693548473819e+18,2024-05-15T17:23:10,12.0,US,627000.0,2371.0,1433.0,6300000.0,I am grateful despite of everything that happened. I have my most precious gift in life, my handsome boys. 🥹😍🥰😘♥️ #usnationalguardwife🇺🇸♥️ #trending #utahmom #bisayangdako👍 #armywife🇺🇸 #proudbisdak❤💋 #pinaywife #nationalguardwife🇺🇸 #bisayangdako🇵🇭 #mothersday2024❤️ #fypシ ,False,,kulta81,Darlene Salutis,,,,,,False,,
7.36718442324414e+18,2024-05-09T20:58:19,15.0,US,3300000.0,41900.0,5802.0,16700000.0,,False,,purrunn,Purrun,,,,,,False,,,
7.368540827901185e+18,2024-05-13T12:42:05,20.0,US,350900.0,3057.0,916.0,3900000.0,Part 2: I’m a voice actor. 😁 #voiceacting #voiceactor #imavoiceactor ,False,,officialnancycartwright,Nancy Cartwright,,,,,,True,,,
7.363814844887354e+18,2024-04-30T19:04:08,7.0,US,61000.0,20800.0,688.0,913500.0,🤣🤣🤣 💯💯💯 ME!! #2024 #fyp #fypシ゚viral #justforfun #healingjourney #fact ,False,,rachelamontez,🫦🦋👑 RACHEL 👑🦋🫦,,,,,,False,California,United States,
7.367482990810746e+18,2024-05-10T16:16:58,8.0,US,212300.0,10400.0,927.0,2200000.0,😏😏 #countrygirls #countryboys #westernfashion #xybca #funny #bf #girlfriend #relationships ,False,,hagankenz,zuǝʞ,,,,,,False,,,
7.361799110376164e+18,2024-04-25T08:40:38,30.0,US,191500.0,6436.0,1329.0,1400000.0,When you forget the Bobby pins. #niecynash #sherrishepherd #wig #bobbypins #secure #fyp #foryou #viral #trending #foryourpage ,False,,kailah_uhura,Kailah_Uhura,,,,,,False,,,
7.373017866481782e+18,2024-05-25T14:15:01,11.0,US,2600000.0,22200.0,8991.0,19500000.0,Ib: @christinascully 🐌 ,False,,brookemonk_,Brooke Monk,,,,,,True,,,
7.371610851322711e+18,2024-05-21T19:15:07,7.0,US,482000.0,140300.0,1931.0,2600000.0,Some real stuff #memes #relateable #real #wwe #bluecollar ,False,,thatssomerealstuff,thatssomerealstuff,,,,,,False,,,
7.37854639227439e+18,2024-06-09T11:48:33,5.0,US,10800000.0,1900000.0,95400.0,117700000.0,Pops too 😭 @Podfathers Show ,False,,barstoolsports,Barstool Sports,,,,,,True,,,
7.364426277144595e+18,2024-05-02T10:35:27,13.0,US,832400.0,100000.0,1961.0,7100000.0,wdym if ? 🤨☝️,False,,hnnhxl,Hannah,,,,,,False,,,
7.368345470453747e+18,2024-05-13T00:04:01,50.0,US,65300.0,1881.0,307.0,1000000.0,Ishowspeed rizzing girls in South Korea #ishowspeedclipz #fyp #korea #CapCut ,False,,contentprodu,ContentProducer,,,,,,False,,,
7.375288525480136e+18,2024-05-31T17:06:19,7.0,US,3500000.0,712400.0,19600.0,24300000.0,mom can you pick me up,False,,pussycatdollll02,kyky,,,,,,False,,,
7.374989915483917e+18,2024-05-30T21:47:34,7.0,US,2700000.0,123000.0,4240.0,16900000.0,a forever thing 🤍🔒 #husbandwife #marriage #wedding #love #couple #trend #highschoolsweethearts #fypage #jayandchan #married ,False,,jay.and.chan,Jay & Chan,,,,,,False,,,
7.364814892089511e+18,2024-05-03T11:43:29,35.0,US,1100000.0,8415.0,1969.0,15400000.0,Everybody loves @Zayn #zayn #zaynmalik #onedirection #music #zquad ,False,,onlyzaynzquad,Zayn Zquad,,,,,,False,,,
7.366870125770903e+18,2024-05-09T00:38:44,35.0,US,405700.0,18100.0,13900.0,4100000.0,i felt likeeeee this song would be more their vibe lol #80sdancechallenge #80s #handdance #rocksteady,False,,nnpres,Natalie Presley,,,,,,False,New Orleans,Louisiana, United States
7.367464845916278e+18,2024-05-10T15:06:39,18.0,US,1100000.0,90000.0,4127.0,15000000.0,Replying to @Ryan Melo i’m so happy our doorbell camera caught this 😂😂 #samandjess #doorbellcamera ,False,,samandjessofficial,Sam & Jess,,,,,,False,,,
7.365625974500773e+18,2024-05-05T16:10:49,6.0,US,1000000.0,4181.0,5227.0,28600000.0,,False,,brookemonk_,Brooke Monk,,,,,,True,,,
7.365849819996261e+18,2024-05-06T06:43:21,85.0,US,647700.0,1486.0,809.0,8300000.0,#movie #usa #tiktok #fypage ,False,,zspsweettie111,Wildlife video,,,,,,False,,,
7.38867798377682e+18,2024-07-06T19:04:19,62.0,US,1000000.0,15200.0,1637.0,7400000.0,Massive ick #pov #greeneyes ,False,,fifinikole,Fifi,,,,,,False,,,
7.367636428966153e+18,2024-05-11T02:12:45,55.0,US,875600.0,6824.0,3312.0,16200000.0,@Jynxzi he caught on too quick,False,,breckiehill,Breckie Hill,,,,,,True,,,
7.381210477386321e+18,2024-06-16T16:06:35,8.0,US,2100000.0,291000.0,7321.0,11900000.0,#fyp ,False,,alondra.flss,alondra,,,,,,False,,,
